#tag	cores	nPar	nSteps	t1	t	colliderRel
gcc49	6	1000	1000	0.017645	0.00034372	0.294683
gcc49	6	1000	1000	0.014021	0.00034546	0.299498
gcc49	6	8000	1000	0.141708	0.00407673	0.350845
gcc49	6	8000	1000	0.141197	0.00404587	0.350075
gcc49	6	8000	1000	0.160364	0.00403724	0.346688
gcc49	6	8000	1000	0.142294	0.00406193	0.346180
gcc49	6	8000	1000	0.145898	0.00404918	0.349563
gcc49	6	15625	1000	0.340453	0.00983813	0.376494
gcc49	6	15625	1000	0.354321	0.00979264	0.380716
gcc49	6	15625	1000	0.342361	0.00973090	0.380354
gcc49	6	27000	1000	0.731391	0.01929364	0.396346
gcc49	6	27000	1000	0.731081	0.01927732	0.400753
gcc49	6	64000	1000	2.579613	0.05664140	0.451925
gcc49	6	125000	1000	7.287172	0.12461998	0.462185
ompTuneSort2_10k_100k	6	1000	1000	0.011450	0.00032844	0.326591
ompTuneSort2_10k_100k	6	1000	1000	0.014371	0.00031996	0.325389
ompTuneSort2_10k_100k	6	1000	1000	0.013767	0.00030401	0.333588
ompTuneSort2_10k_100k	6	1000	1000	0.013816	0.00030557	0.325921
ompTuneSort2_10k_100k	6	1000	1000	0.015271	0.00030996	0.330214
ompTuneSort2_10k_100k	6	8000	1000	0.140178	0.00393441	0.364613
ompTuneSort2_10k_100k	6	8000	1000	0.140588	0.00389756	0.369640
ompTuneSort2_10k_100k	6	8000	1000	0.139772	0.00401103	0.364945
ompTuneSort2_10k_100k	6	8000	1000	0.137479	0.00398189	0.365064
ompTuneSort2_10k_100k	6	8000	1000	0.145104	0.00390699	0.367545
ompTuneSort2_10k_100k	6	15625	1000	0.344851	0.00952878	0.400414
ompTuneSort2_10k_100k	6	15625	1000	0.359836	0.00950978	0.394270
ompTuneSort2_10k_100k	6	15625	1000	0.344784	0.00933962	0.394510
ompTuneSort2_10k_100k	6	27000	1000	0.748538	0.01849686	0.423634
ompTuneSort2_10k_100k	6	27000	1000	0.746428	0.01922987	0.419850
ompTuneSort2_10k_100k	6	64000	1000	2.686327	0.05430708	0.483650
ompTuneSort2_10k_100k	6	125000	1000	7.620113	0.11533482	0.492216
ompTuneSort2_10k_100k	6	1000	1000	0.014846	0.00031370	0.326901
ompTuneSort2_10k_100k	6	1000	1000	0.015846	0.00031329	0.327861
ompTuneSort2_10k_100k	6	1000	1000	0.030634	0.00031145	0.338884
ompTuneSort2_10k_100k	6	1000	1000	0.014003	0.00033726	0.311131
ompTuneSort2_10k_100k	6	1000	1000	0.013697	0.00034002	0.328941
ompTuneSort2_10k_100k	6	8000	1000	0.151736	0.00387898	0.366337
ompTuneSort2_10k_100k	6	8000	1000	0.145308	0.00393005	0.367486
ompTuneSort2_10k_100k	6	8000	1000	0.148062	0.00395524	0.365215
ompTuneSort2_10k_100k	6	8000	1000	0.146787	0.00398710	0.364261
ompTuneSort2_10k_100k	6	8000	1000	0.144827	0.00396596	0.365745
ompTuneSort2_10k_100k	6	15625	1000	0.361756	0.00943076	0.392848
ompTuneSort2_10k_100k	6	1000	1000	0.014470	0.00035842	0.316809
ompTuneSort2_10k_100k	6	1000	1000	0.015293	0.00033131	0.325892
ompTuneSort2_10k_100k	6	1000	1000	0.011813	0.00031119	0.326510
ompTuneSort2_10k_100k	6	1000	1000	0.016464	0.00031995	0.326052
ompTuneSort2_10k_100k	6	1000	1000	0.014785	0.00031629	0.324273
ompTuneSort2_10k_100k	6	8000	1000	0.146955	0.00394388	0.366341
ompTuneSort2_10k_100k	6	8000	1000	0.144054	0.00390360	0.366724
ompTuneSort2_10k_100k	6	8000	1000	0.141948	0.00392264	0.369974
ompTuneSort2_10k_100k	6	8000	1000	0.139621	0.00386754	0.370271
ompTuneSort2_10k_100k	6	8000	1000	0.150821	0.00388741	0.365979
ompTuneSort2_10k_100k	6	15625	1000	0.352969	0.00945381	0.396735
ompTuneSort2_10k_100k	6	15625	1000	0.355602	0.00948274	0.393268
ompTuneSort2_10k_100k	6	15625	1000	0.349139	0.00941786	0.397252
ompTuneSort2_10k_100k	6	27000	1000	0.770039	0.01868682	0.428816
ompTuneSort2_10k_100k	6	27000	1000	0.776411	0.01846766	0.421588
ompTuneSort2_10k_100k	6	64000	1000	2.750272	0.05465424	0.484635
ompTuneSort2_10k_100k	6	125000	1000	7.874921	0.11896941	0.489446
ompTuneSort1_10k_100k	6	1000	1000	0.015800	0.00033996	0.324516
ompTuneSort1_10k_100k	6	1000	1000	0.011824	0.00033277	0.328385
ompTuneSort1_10k_100k	6	1000	1000	0.019481	0.00032881	0.321382
ompTuneSort1_10k_100k	6	1000	1000	0.014781	0.00031495	0.322754
ompTuneSort1_10k_100k	6	1000	1000	0.013381	0.00031404	0.332756
ompTuneSort1_10k_100k	6	8000	1000	0.147496	0.00392285	0.357659
ompTuneSort1_10k_100k	6	8000	1000	0.141498	0.00393685	0.364111
ompTuneSort1_10k_100k	6	8000	1000	0.141805	0.00392554	0.358068
ompTuneSort1_10k_100k	6	8000	1000	0.143285	0.00393733	0.361706
ompTuneSort1_10k_100k	6	8000	1000	0.144191	0.00391724	0.360305
ompTuneSort1_10k_100k	6	15625	1000	0.354423	0.00939467	0.394128
ompTuneSort1_10k_100k	6	15625	1000	0.355161	0.00935451	0.394238
ompTuneSort1_10k_100k	6	15625	1000	0.354714	0.00936612	0.394242
ompTuneSort1_10k_100k	6	27000	1000	0.777484	0.01853490	0.423523
ompTuneSort1_10k_100k	6	27000	1000	0.771964	0.01866663	0.427594
ompTuneSort1_10k_100k	6	64000	1000	2.761246	0.05382872	0.479784
ompTuneSort1_10k_100k	6	125000	1000	7.922193	0.12481458	0.517000
ompTuneSort1_10k_0	6	1000	1000	0.011715	0.00031455	0.326757
ompTuneSort1_10k_0	6	1000	1000	0.018862	0.00031417	0.330738
ompTuneSort1_10k_0	6	1000	1000	0.015373	0.00031518	0.328626
ompTuneSort1_10k_0	6	1000	1000	0.021505	0.00031869	0.339479
ompTuneSort1_10k_0	6	1000	1000	0.015040	0.00030836	0.331293
ompTuneSort1_10k_0	6	8000	1000	0.140829	0.00392454	0.361487
ompTuneSort1_10k_0	6	8000	1000	0.144063	0.00387541	0.360477
